YearMonth,y,series_name,month,quarter,trend,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_min_3,rolling_max_3,expanding_mean
2023-01,438.0,N1_M,1,1,0,0.49999999999999994,0.8660254037844387,,,,,,,,,,,
2023-02,440.0,N1_M,2,1,1,0.8660254037844386,0.5000000000000001,438.0,,,,,438.0,438.0,,438.0,438.0,438.0
2023-03,46.0,N1_M,3,1,2,1.0,6.123233995736766e-17,440.0,438.0,,,,439.0,439.0,1.4142135623730951,438.0,440.0,439.0
2023-04,100.0,N1_M,4,2,3,0.8660254037844387,-0.4999999999999998,46.0,440.0,438.0,,,308.0,308.0,226.90085940780392,46.0,440.0,308.0
2023-05,220.0,N1_M,5,2,4,0.49999999999999994,-0.8660254037844387,100.0,46.0,440.0,,,195.33333333333334,256.0,213.60087390582777,46.0,440.0,256.0
2023-06,40.0,N1_M,6,2,5,1.2246467991473532e-16,-1.0,220.0,100.0,46.0,,,122.0,248.8,89.0617763128493,46.0,220.0,248.8
2023-07,0.0,N1_M,7,3,6,-0.4999999999999997,-0.8660254037844388,40.0,220.0,100.0,438.0,,120.0,214.0,91.65151389911684,40.0,220.0,214.0
2023-08,45.0,N1_M,8,3,7,-0.8660254037844385,-0.5000000000000004,0.0,40.0,220.0,440.0,,86.66666666666667,141.0,117.18930554164635,0.0,220.0,183.42857142857142
2023-09,160.0,N1_M,9,3,8,-1.0,-1.8369701987210297e-16,45.0,0.0,40.0,46.0,,28.333333333333332,75.16666666666667,24.664414311581616,0.0,45.0,166.125
2023-10,166.0,N1_M,10,4,9,-0.8660254037844386,0.5000000000000001,160.0,45.0,0.0,100.0,,68.33333333333333,94.16666666666667,82.51262529657717,0.0,160.0,165.44444444444446
2023-11,155.0,N1_M,11,4,10,-0.5000000000000004,0.8660254037844384,166.0,160.0,45.0,220.0,,123.66666666666667,105.16666666666667,68.19335255971316,45.0,166.0,165.5
2023-12,0.0,N1_M,12,4,11,-2.4492935982947064e-16,1.0,155.0,166.0,160.0,40.0,,160.33333333333334,94.33333333333333,5.507570547285899,155.0,166.0,164.54545454545453
2024-01,250.0,N1_M,1,1,12,0.49999999999999994,0.8660254037844387,0.0,155.0,166.0,0.0,438.0,107.0,87.66666666666667,92.82779756086003,0.0,166.0,150.83333333333334
2024-02,10.0,N1_M,2,1,13,0.8660254037844386,0.5000000000000001,250.0,0.0,155.0,45.0,440.0,135.0,129.33333333333334,126.19429464123964,0.0,250.0,158.46153846153845
2024-03,335.0,N1_M,3,1,14,1.0,6.123233995736766e-17,10.0,250.0,0.0,160.0,46.0,86.66666666666667,123.5,141.53915830374768,0.0,250.0,147.85714285714286
2024-04,0.0,N1_M,4,2,15,0.8660254037844387,-0.4999999999999998,335.0,10.0,250.0,166.0,100.0,198.33333333333334,152.66666666666666,168.5477182679532,10.0,335.0,160.33333333333334
2024-05,342.0,N1_M,5,2,16,0.49999999999999994,-0.8660254037844387,0.0,335.0,10.0,155.0,220.0,115.0,125.0,190.59118552545922,0.0,335.0,150.3125
